2026-06-29 22:15:57 | INFO     | ui.app_window        | Settings applied: theme=light
2026-06-29 22:17:19 | DEBUG    | core.settings        | Settings saved to config.json
2026-06-29 22:17:19 | INFO     | ui.app_window        | Application exiting.
2026-06-29 22:17:23 | INFO     | root                 | ======================================================================
2026-06-29 22:17:23 | INFO     | root                 |   DONSS — Application Started
2026-06-29 22:17:23 | INFO     | root                 | ======================================================================
2026-06-29 22:17:23 | INFO     | __main__             | Importing UI modules…
2026-06-29 22:17:23 | INFO     | __main__             | Starting main window…
2026-06-29 22:17:23 | DEBUG    | ui.theme             | Theme set to 'light' (effective: light)
2026-06-29 22:17:23 | INFO     | core.data_engine     | DataEngine initialised
2026-06-29 22:17:24 | INFO     | ui.app_window        | AppWindow initialised
2026-06-29 22:17:25 | INFO     | ui.app_window        | Auto-loading last folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:17:25 | INFO     | core.data_engine     | Loading folder: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:17:25 | INFO     | core.data_engine     | Found 3 Excel file(s)
2026-06-29 22:17:36 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM APRIL 2026.xlsx (21907 rows)
2026-06-29 22:17:38 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM JAN 2026 FOR FILEFILLUP.xlsx (17924 rows)
2026-06-29 22:17:45 | DEBUG    | core.data_engine     | Loaded MASTER SHEET FROM JAN 2026.xlsx (18003 rows)
2026-06-29 22:17:45 | INFO     | core.data_engine     | Load complete — 3 file(s), 57834 records, 0 skipped
2026-06-29 22:17:45 | DEBUG    | core.settings        | Settings saved to config.json
2026-06-29 22:17:45 | INFO     | ui.app_window        | Folder loaded: C:\Users\ACER\Desktop\ABHISHEKJHA\DOEXCELFILES
2026-06-29 22:17:54 | DEBUG    | core.settings        | Settings saved to config.json
2026-06-29 22:17:54 | INFO     | ui.app_window        | Settings applied: theme=dark
